year,round,Team,Driver,Compound
2018,14,Racing Point,OCO,"['SUPERSOFT', 'SOFT']"
2018,14,Racing Point,PER,"['SUPERSOFT', 'SOFT']"
2018,14,Red Bull Racing,RIC,['SUPERSOFT']
2018,14,Red Bull Racing,VER,"['SUPERSOFT', 'SOFT']"
2018,14,Renault,HUL,"['SOFT', 'SUPERSOFT']"
2018,14,Renault,SAI,"['SUPERSOFT', 'SOFT']"
2018,14,Sauber,ERI,"['SUPERSOFT', 'SUPERSOFT']"
2018,14,Sauber,LEC,"['SOFT', 'SUPERSOFT']"
2018,14,Toro Rosso,GAS,"['SUPERSOFT', 'SOFT']"
2018,14,Toro Rosso,HAR,['SUPERSOFT']
2018,14,Williams,SIR,"['SUPERSOFT', 'SOFT']"
2018,14,Williams,STR,"['SUPERSOFT', 'SOFT']"
2018,15,Ferrari,RAI,"['HYPERSOFT', 'SOFT']"
2018,15,Ferrari,VET,"['HYPERSOFT', 'ULTRASOFT']"
2018,15,Haas F1 Team,GRO,"['HYPERSOFT', 'SOFT']"
2018,15,Haas F1 Team,MAG,"['ULTRASOFT', 'SOFT', 'HYPERSOFT', 'HYPERSOFT']"
2018,15,McLaren,ALO,"['ULTRASOFT', 'SOFT']"
2018,15,McLaren,VAN,"['ULTRASOFT', 'SOFT', 'ULTRASOFT']"
2018,15,Mercedes,BOT,"['HYPERSOFT', 'SOFT']"
2018,15,Mercedes,HAM,"['HYPERSOFT', 'SOFT']"
2018,15,Racing Point,OCO,['HYPERSOFT']
2018,15,Racing Point,PER,"['HYPERSOFT', 'ULTRASOFT', 'SOFT', 'SOFT']"
2018,15,Red Bull Racing,RIC,"['HYPERSOFT', 'ULTRASOFT']"
2018,15,Red Bull Racing,VER,"['HYPERSOFT', 'SOFT']"
2018,15,Renault,HUL,"['HYPERSOFT', 'ULTRASOFT']"
2018,15,Renault,SAI,"['ULTRASOFT', 'SOFT']"
2018,15,Sauber,ERI,"['ULTRASOFT', 'HYPERSOFT', 'ULTRASOFT']"
2018,15,Sauber,LEC,"['ULTRASOFT', 'HYPERSOFT']"
2018,15,Toro Rosso,GAS,"['HYPERSOFT', 'ULTRASOFT']"
2018,15,Toro Rosso,HAR,"['HYPERSOFT', 'ULTRASOFT', 'HYPERSOFT']"
2018,15,Williams,SIR,"['ULTRASOFT', 'SOFT', 'HYPERSOFT', 'SOFT']"
2018,15,Williams,STR,"['SOFT', 'ULTRASOFT']"
2018,16,Ferrari,RAI,"['ULTRASOFT', 'SOFT']"
2018,16,Ferrari,VET,"['ULTRASOFT', 'SOFT']"
2018,16,Haas F1 Team,GRO,"['HYPERSOFT', 'SOFT']"
2018,16,Haas F1 Team,MAG,"['HYPERSOFT', 'SOFT']"
2018,16,McLaren,ALO,"['ULTRASOFT', 'SOFT']"
2018,16,McLaren,VAN,"['ULTRASOFT', 'SOFT']"
